"timestamp","price","X1","X2","sqft","your.name","lot.size","beds","bath","garage","year","elementary","middle","high","walk","tax","highway","restaurant","starbucks","park","mall","address","zip","tract","lon","lat"
"1/15/2015 16:11:46",179900,NA,NA,1600,"Emily Simonson",43560,3,2,"Yes",1994,9,4,2,15,3182,"No",22,3.2,18,1.3,"504 Winkworth Pkwy",13219,NA,-76.1991819,43.025607
"1/15/2015 16:17:10",128000,NA,NA,1992,"Emily Simonson",6969,4,2.5,"Yes",1950,2,4,2,43,1393,"No",7,2.6,5,0.6,"136 Austin Ave",13207,NA,-76.188478,43.0289447
"1/15/2015 16:25:52",114900,NA,NA,1378,"Emily Simonson",5227,4,1,"Yes",1930,2,4,2,50,1331,"No",6,2.6,7,0.5,"701 Velasko Rd",13207,NA,-76.1854,43.029567
"1/15/2015 16:34:22",107500,NA,NA,1452,"Emily Simonson",5227,3,1,"Yes",1931,2,4,1,42,157,"No",12,2.6,8,0.8,"518 Wolcott Ave",13207,NA,-76.183009,43.027571
"1/15/2015 16:41:35",43000,NA,NA,850,"Emily Simonson",6098,2,1,"Yes",1955,2,9,1,57,1525,"No",8,2.3,20,0.6,"112 Wolcott Ave",13207,NA,-76.1832409,43.0321038
"1/15/2015 16:52:22",85000,NA,NA,1639,"Emily Simonson",7840,4,1,"No",1915,2,4,1,36,2184,"No",32,1.9,11,2.5,"212 Roberts Ave",13207,NA,-76.1719573,43.0311128
"1/15/2015 16:56:16",254900,NA,NA,3560,"Emily Simonson",13503,5,3.5,"Yes",1940,2,4,2,28,5202,"No",27,2.2,13,2.6,"168 Robineau Rd",13207,NA,-76.172169,43.02621
"1/15/2015 17:00:55",63000,NA,NA,1788,"Emily Simonson",5227,3,1,"No",1890,4,1,2,43,788,"No",34,1.7,6,3.3,"136 Parkside ave",13207,NA,-76.1625987,43.0254228
"1/15/2015 17:05:32",188000,NA,NA,2832,"Emily Simonson",10454,4,2,"Yes",1905,2,4,1,49,2500,"No",12,1.7,11,1.9,"121 Ruskin Ave",13207,NA,-76.168631,43.0312569
"1/15/2015 17:09:26",169900,NA,NA,1864,"Emily Simonson",6534,4,2,"Yes",1926,2,4,2,52,2251,"No",22,2.3,4,4.1,"203 Wellesley Rd",13207,NA,-76.16885,43.020924
